Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district
67000.0,2.0,971.0,3.0,26.0,2021.0,69.0,25.0,21.0,23.0,Правди,Подільський
90000.0,2.0,1800.0,4.0,4.0,1896.0,50.0,37.0,6.0,7.0,Малопідвальна,Шевченківський
101500.0,1.0,2307.0,8.0,11.0,2009.0,44.0,22.0,13.0,9.0,Бойчука,Дарницький
104000.0,3.0,1169.0,18.0,26.0,2009.0,89.0,37.0,40.0,12.0,Зарічна,Дарницький
190000.0,2.0,3167.0,9.0,21.0,2017.0,60.0,37.0,25.0,0.0,Предславинська,Печерський
3600000.0,6.0,8000.0,25.0,25.0,2011.0,450.0,288.0,45.0,117.0,Івана Мазепи,Печерський
63000.0,2.0,1033.0,10.0,26.0,2009.0,61.0,28.0,12.0,21.0,Радченка,Печерський
680000.0,7.0,2369.0,21.0,21.0,2010.0,287.0,177.0,14.0,96.0,Лабораторний,Печерський
139000.0,2.0,1829.0,20.0,21.0,2018.0,76.0,31.0,19.0,26.0,Конєва,Оболонський
347700.0,4.0,1900.0,4.0,25.0,2011.0,183.0,100.0,17.0,66.0,Шаповала,Оболонський
85000.0,2.0,1328.0,4.0,24.0,2009.0,64.0,30.0,20.0,14.0,Дніпровська,Оболонський
35600.0,1.0,989.0,10.0,26.0,2009.0,36.0,15.0,12.0,9.0,Клеманська,Дарницький
85000.0,3.0,1133.0,9.0,15.0,1999.0,75.0,42.0,8.0,25.0,Григоренка,Печерський
46000.0,1.0,1022.0,4.0,5.0,1963.0,45.0,37.0,10.0,0.0,Туполєва,Печерський
125000.0,2.0,2358.0,3.0,4.0,1860.0,53.0,42.0,5.0,6.0,Хмельницького,Печерський
530000.0,3.0,3926.0,4.0,15.0,2017.0,135.0,50.0,40.0,45.0,Саперне Поле,Печерський
229000.0,3.0,2140.0,7.0,25.0,2007.0,107.0,50.0,14.0,43.0,Героїв Сталінграда,Оболонський
117000.0,3.0,1401.0,14.0,26.0,2009.0,55.0,37.0,14.0,4.0,Дніпровська,Оболонський
110000.0,2.0,2000.0,3.0,9.0,1971.0,55.0,37.0,14.0,4.0,Тарасівська,Голосіївський
92900.0,3.0,1021.0,4.0,5.0,1956.0,91.0,56.0,11.0,24.0,Краківська,Дніпровський
77500.0,1.0,1845.0,5.0,9.0,2018.0,42.0,17.0,15.0,10.0,Юнацька,Святошинський
40500.0,1.0,1067.0,4.0,26.0,2009.0,93.0,37.0,14.0,42.0,Клеманська,Дарницький
136000.0,3.0,1462.0,2.0,16.0,1998.0,93.0,50.0,28.0,15.0,Героїв Сталінграда,Оболонський
220000.0,2.0,2619.0,3.0,8.0,1948.0,84.0,52.0,13.0,19.0,Драгоманова,Дарницький
