Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district,category
33900.0,1.0,1169.0,4.0,5.0,1969.0,29.0,16.0,7.0,6.0,Празька,Дніпровський,економ
165000.0,4.0,2062.0,4.0,4.0,2009.0,80.0,56.0,11.0,13.0,Гончара,Оболонський,бізнес
270000.0,2.0,3333.0,11.0,13.0,2019.0,81.0,32.0,20.0,29.0,Маккейна,Оболонський,бізнес
40000.0,1.0,995.0,14.0,25.0,2009.0,49.0,37.0,12.0,0.0,Балтійський,Оболонський,бізнес
104000.0,1.0,2122.0,13.0,26.0,2015.0,49.0,25.0,14.0,10.0,Білоруська,Шевченківський,бізнес
75000.0,1.0,1442.0,4.0,25.0,2016.0,52.0,18.0,14.0,20.0,Драгоманова,Дарницький,бізнес
115000.0,2.0,1613.0,4.0,25.0,2009.0,33.0,37.0,14.0,0.0,Липківського,Печерський,бізнес
58000.0,1.0,1758.0,8.0,9.0,1972.0,33.0,19.0,14.0,0.0,Новогоспітальна,Печерський,економ
30540.0,1.0,1021.4,9.0,26.0,2009.0,160.0,37.0,14.0,109.0,Радченка,Оболонський,бізнес
259999.0,5.0,1625.0,5.0,6.0,1936.0,160.0,85.0,40.0,35.0,Богомольця,Оболонський,економ
140000.0,3.0,1842.0,26.0,26.0,2016.0,76.0,49.0,10.0,17.0,Донця,Оболонський,бізнес
160000.0,2.0,2078.0,3.0,26.0,2009.0,77.0,36.0,13.0,28.0,Оболонський,Оболонський,бізнес
200714.3,4.0,2007.1,2.0,2.0,2009.0,100.0,80.0,20.0,0.0,Щекавицька,Подільський,економ
65000.0,3.0,1048.0,3.0,9.0,1960.0,62.0,43.0,9.0,10.0,Пожарського,Дніпровський,бізнес
74000.0,3.0,1000.0,7.0,9.0,1975.0,74.0,48.0,8.0,18.0,Полкова,Подільський,бізнес
67000.0,2.0,1218.0,3.0,16.0,1993.0,55.0,30.0,8.0,17.0,Палладіна,Шевченківський,бізнес
110000.0,2.0,1630.0,12.0,24.0,2009.0,84.0,37.0,37.0,10.0,Бойчука,Шевченківський,бізнес
127000.0,2.0,1512.0,14.0,24.0,2018.0,84.0,43.0,14.0,27.0,Липківського,Шевченківський,бізнес
180000.0,2.0,1915.0,4.0,10.0,2005.0,94.0,45.0,15.0,34.0,Павлівська,Шевченківський,бізнес
63000.0,3.0,875.0,3.0,9.0,1977.0,72.0,45.0,7.0,20.0,Івашкевича,Солом'янський,бізнес
42900.0,2.0,998.0,1.0,5.0,2009.0,43.0,29.0,14.0,0.0,Іскрівська,Солом'янський,економ
95000.0,3.0,1234.0,16.0,25.0,2017.0,77.0,45.0,12.0,20.0,Максимовича,Святошинський,бізнес
255000.0,4.0,2318.0,3.0,4.0,1900.0,110.0,68.0,13.0,29.0,Драгомирова,Голосіївський,економ
100357.1,2.0,1593.0,6.0,30.0,2009.0,63.0,35.0,8.0,20.0,Драгомирова,Голосіївський,бізнес
115000.0,1.0,2614.0,2.0,7.0,2019.0,44.0,14.0,21.0,9.0,Теремківська,Голосіївський,економ
113300.0,3.0,1218.0,15.0,21.0,2009.0,93.0,55.0,11.0,27.0,Осокорська,Дарницький,бізнес
